season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,dnf,score,win_prob
2024,Abu Dhabi Grand Prix,ALB,0.14060663614958213,-0.6721754285876903,-0.25809277510587314,-1.2846880465913206,1.052347607776289,-1.0296874343112348,SOFT,2.898956215085904,1,0.00048277152,0.050463929772377014
2024,Abu Dhabi Grand Prix,ALO,-0.5171694650284241,-1.0959150369272637,0.4969035054284652,-0.2460040940281249,-0.3071636892584589,1.3472545869492791,SOFT,-0.8806193969701501,1,0.0029977488,0.050591010600328445
2024,Abu Dhabi Grand Prix,BOT,-0.27881112555741633,-0.3605106819592782,-0.35463328310863057,0.013666894112674015,-0.28976194465642374,0.6158878111768132,SOFT,-0.5896518055391718,1,0.0040304945,0.050643280148506165
2024,Abu Dhabi Grand Prix,COL,1.1878528068693928,1.0521011122601298,2.207403275425981,-3.102384963576913,1.250292452624566,-1.0296874343112348,SOFT,-0.7681817568715018,1,0.0037186812,0.05062749609351158
2024,Abu Dhabi Grand Prix,DOO,2.1945601430020423,1.4837972011343128,1.4548823925327155,1.0523508466758698,1.6701095411488915,-1.0296874343112348,SOFT,-1.15190700011991,1,0.0021064216,0.050545934587717056
2024,Abu Dhabi Grand Prix,GAS,-0.47388194500751324,-0.25838613601836496,0.3558058398859735,0.013666894112674015,-0.7683099212126525,1.1644128930061626,SOFT,0.7757551334457224,1,0.000781978,0.05047903582453728
2024,Abu Dhabi Grand Prix,HAM,0.3191695498667393,1.2930606910884086,-0.6294024212703249,0.27333788225347294,1.1959120007431638,-1.3953708221974677,SOFT,-0.4973024630145389,1,0.0013323843,0.050506822764873505
2024,Abu Dhabi Grand Prix,HUL,-0.36498770847919176,-0.059975973382209724,-0.9759580910238015,0.7926798585350707,-0.9814812925876988,0.9815711990630462,SOFT,-0.48312677404311916,1,0.012314565,0.05106456205248833
2024,Abu Dhabi Grand Prix,LAW,0.6367726494761281,0.5627220552336376,0.3211502729106364,0.27333788225347294,0.2931964995120776,0.06736272934746393,SOFT,0.09070801203389121,1,0.0024788938,0.05056476593017578
2024,Abu Dhabi Grand Prix,LEC,-0.2492906438541753,-0.047770935508327464,-0.42641981470044804,0.5330088703942718,-0.7770107935136547,0.06736272934746393,SOFT,0.5153222153858835,1,0.0028019196,0.050581105053424835
2024,Abu Dhabi Grand Prix,MAG,-1.7410531673568768,-1.826406267206362,-0.34225629490316056,-0.5056750821689238,0.6412313915529966,-1.5782125161405842,SOFT,0.699713599617182,1,0.0009475423,0.05048739165067673
2024,Abu Dhabi Grand Prix,NOR,0.3713220692340186,0.6617362842212765,-2.1195918012102775,0.27333788225347294,-1.6144697524870706,0.7987295051199298,SOFT,-1.2714189972265353,1,0.27414778,0.06634867936372757
2024,Abu Dhabi Grand Prix,PIA,-0.04381125601582585,0.022422624182513114,-1.540348753193733,0.7926798585350707,-1.159849174758644,0.7987295051199298,SOFT,-1.2374393844075928,1,0.31008655,0.06877654045820236
2024,Abu Dhabi Grand Prix,RUS,-1.4604428130528198,-1.231359368605102,0.39788759978463484,-0.7653460703097227,-0.44637764607480174,1.3472545869492791,SOFT,-0.3283239745987129,1,0.0054430477,0.05071486905217171
2024,Abu Dhabi Grand Prix,SAI,-1.3492853203936044,-0.9351123250630621,-0.6789103740922401,0.013666894112674015,-1.1163448132535405,0.7987295051199298,SOFT,0.2707546139193419,1,0.045117594,0.05276741087436676
2024,Abu Dhabi Grand Prix,STR,0.745634681842591,1.0369935896317597,0.7741480412312676,1.0523508466758698,0.8522275448527769,-1.0296874343112348,SOFT,-0.04857426887613217,1,0.0012244257,0.05050137639045715
2024,Abu Dhabi Grand Prix,TSU,1.3752436930014538,1.4156281762347545,0.3062978870640583,0.7926798585350707,0.17790994152353692,0.06736272934746393,SOFT,0.5861863468586308,1,0.0013789639,0.05050917714834213
2024,Abu Dhabi Grand Prix,VER,0.3813315154731921,0.20807562020159381,0.5563130488147774,0.7926798585350707,-0.8531434261476241,0.06736272934746393,SOFT,0.5909475990520943,1,0.056399513,0.05336609482765198
2024,Abu Dhabi Grand Prix,ZHO,-0.8737603001693149,-1.248925200930726,0.454821745529839,-0.7653460703097227,1.1806854742163637,-1.0296874343112348,SOFT,0.8282020862687124,1,0.0004167989,0.05046060308814049
2024,Australian Grand Prix,ALO,-0.7698372358792667,-0.32205229434564814,-0.6840076431800682,0.9120896481293194,-0.3847891680741558,0.0104449051227067,SOFT,0.05123203387279842,1,0.0031136612,0.05393674597144127
2024,Australian Grand Prix,BOT,-0.7050076209410554,-0.9863043599946026,0.659388691042269,0.9120896481293194,0.5352001142283674,0.0104449051227067,SOFT,0.5277919393283614,1,0.00059338857,0.05380098894238472
2024,Australian Grand Prix,GAS,-0.9912821739628447,-1.0326172241077394,0.8709786040104445,1.1768898685539606,1.4727130019080612,-1.3056131403383422,SOFT,0.14308883430948244,1,0.00044754124,0.05379313975572586
2024,Australian Grand Prix,HAM,2.0116338096840196,0.827688540189989,1.1564253733920176,-1.735912556117093,-0.019714056049350604,0.0104449051227067,SOFT,-1.0894553214749423,1,0.004329592,0.05400237813591957
2024,Australian Grand Prix,HUL,-0.3613587873079965,-0.6496988318675566,0.8929360478090184,-0.14711123356924555,1.4639511992194656,-1.3056131403383422,SOFT,0.007060600725156083,1,0.00016992474,0.053778208792209625
