season,race,driver,fp2_deg_slope
2022,Abu Dhabi Grand Prix,ALB,0.3940976190476195
2022,Abu Dhabi Grand Prix,ALO,-0.07246103896103945
2022,Abu Dhabi Grand Prix,BOT,1.2978336996337008
2022,Abu Dhabi Grand Prix,GAS,1.192052380952381
2022,Abu Dhabi Grand Prix,HAM,3.139821428571427
2022,Abu Dhabi Grand Prix,LAT,0.8396047619047613
2022,Abu Dhabi Grand Prix,LEC,2.4928899772641144
2022,Abu Dhabi Grand Prix,MAG,0.3194001761804086
2022,Abu Dhabi Grand Prix,MSC,0.6735983766233771
2022,Abu Dhabi Grand Prix,NOR,-0.9099166666666662
2022,Abu Dhabi Grand Prix,OCO,1.3129549450549458
2022,Abu Dhabi Grand Prix,PER,0.38195909090909286
2022,Abu Dhabi Grand Prix,RUS,1.1224015873015878
2022,Abu Dhabi Grand Prix,SAI,0.4002126749219774
2022,Abu Dhabi Grand Prix,STR,0.45315307017543793
2022,Abu Dhabi Grand Prix,TSU,0.812999542124542
2022,Abu Dhabi Grand Prix,VER,-1.3444567377746681
2022,Abu Dhabi Grand Prix,VET,-0.20617142857142742
2022,Abu Dhabi Grand Prix,ZHO,1.2239545177045175
2022,Australian Grand Prix,ALB,-1.5240309523809534
2022,Australian Grand Prix,ALO,-2.0067571428571434
2022,Australian Grand Prix,BOT,-0.5310404761904749
2022,Australian Grand Prix,GAS,-2.3577238095238098
2022,Australian Grand Prix,HAM,-2.4078095238095236
2022,Australian Grand Prix,LAT,-1.387757142857143
2022,Australian Grand Prix,LEC,-2.35247142857143
2022,Australian Grand Prix,MAG,-3.0938928571428566
2022,Australian Grand Prix,MSC,-5.101685714285714
2022,Australian Grand Prix,NOR,-3.4266357142857133
2022,Australian Grand Prix,OCO,-2.4102571428571435
2022,Australian Grand Prix,PER,-3.01537142857143
2022,Australian Grand Prix,RIC,-1.603591666666667
2022,Australian Grand Prix,RUS,-3.0196071428571436
2022,Australian Grand Prix,SAI,-4.47067857142857
2022,Australian Grand Prix,STR,-1.2954571428571435
2022,Australian Grand Prix,TSU,-1.9224303571428571
2022,Australian Grand Prix,VER,-3.027119047619048
2022,Australian Grand Prix,ZHO,-3.392809523809525
2022,Austrian Grand Prix,ALB,0.06761804812834249
2022,Austrian Grand Prix,ALO,-0.4006428571428572
2022,Austrian Grand Prix,BOT,0.3108131868131867
2022,Austrian Grand Prix,GAS,0.0962016456582635
2022,Austrian Grand Prix,HAM,2.095154545454547
