season,race,driver,best_quali_lap,best_quali_lap_number,best_quali_compound
2023,Abu Dhabi Grand Prix,ALB,84.298,5,SOFT
2023,Abu Dhabi Grand Prix,ALO,84.084,17,SOFT
2023,Abu Dhabi Grand Prix,BOT,84.788,5,SOFT
2023,Abu Dhabi Grand Prix,GAS,84.078,11,SOFT
2023,Abu Dhabi Grand Prix,HAM,84.359,11,SOFT
2023,Abu Dhabi Grand Prix,HUL,84.108,17,SOFT
2023,Abu Dhabi Grand Prix,LEC,83.584,17,SOFT
2023,Abu Dhabi Grand Prix,MAG,84.764,5,SOFT
2023,Abu Dhabi Grand Prix,NOR,83.816,12,SOFT
2023,Abu Dhabi Grand Prix,OCO,84.391,11,SOFT
2023,Abu Dhabi Grand Prix,PER,83.868,16,SOFT
2023,Abu Dhabi Grand Prix,PIA,83.782,16,SOFT
2023,Abu Dhabi Grand Prix,RIC,84.442,11,SOFT
2023,Abu Dhabi Grand Prix,RUS,83.788,17,SOFT
2023,Abu Dhabi Grand Prix,SAI,84.738,5,SOFT
2023,Abu Dhabi Grand Prix,SAR,84.532,5,SOFT
2023,Abu Dhabi Grand Prix,STR,84.405,5,SOFT
2023,Abu Dhabi Grand Prix,TSU,83.968,17,SOFT
2023,Abu Dhabi Grand Prix,VER,83.445,11,SOFT
2023,Abu Dhabi Grand Prix,ZHO,85.114,2,SOFT
2023,Australian Grand Prix,ALB,77.609,26,SOFT
2023,Australian Grand Prix,ALO,77.139,25,SOFT
2023,Australian Grand Prix,BOT,78.714,11,SOFT
2023,Australian Grand Prix,DEV,78.335,20,SOFT
2023,Australian Grand Prix,GAS,77.574,16,SOFT
2023,Australian Grand Prix,HAM,77.104,27,SOFT
2023,Australian Grand Prix,HUL,77.412,18,SOFT
2023,Australian Grand Prix,LEC,77.369,24,SOFT
2023,Australian Grand Prix,MAG,78.129,17,SOFT
2023,Australian Grand Prix,NOR,78.119,23,SOFT
2023,Australian Grand Prix,OCO,77.768,15,SOFT
2023,Australian Grand Prix,PER,100.187,1,SOFT
2023,Australian Grand Prix,PIA,78.517,11,SOFT
2023,Australian Grand Prix,RUS,76.968,28,SOFT
2023,Australian Grand Prix,SAI,77.27,27,SOFT
2023,Australian Grand Prix,SAR,78.557,9,SOFT
2023,Australian Grand Prix,STR,77.308,25,SOFT
2023,Australian Grand Prix,TSU,78.099,21,SOFT
2023,Australian Grand Prix,VER,76.732,23,SOFT
2023,Australian Grand Prix,ZHO,78.54,9,SOFT
2023,Austrian Grand Prix,ALB,65.34,20,SOFT
2023,Austrian Grand Prix,ALO,64.911,26,SOFT
2023,Austrian Grand Prix,BOT,65.513,13,SOFT
2023,Austrian Grand Prix,DEV,65.974,9,SOFT
2023,Austrian Grand Prix,GAS,65.084,14,SOFT
2023,Austrian Grand Prix,HAM,64.819,24,SOFT
2023,Austrian Grand Prix,HUL,65.09,23,SOFT
2023,Austrian Grand Prix,LEC,64.439,25,SOFT
