season,race,driver,fp2_deg_slope
2023,Las Vegas Grand Prix,HAM,0.8178848568098562
2023,Las Vegas Grand Prix,HUL,2.2328504329004315
2023,Las Vegas Grand Prix,LEC,1.3318330923653008
2023,Las Vegas Grand Prix,MAG,1.5881660714285712
2023,Las Vegas Grand Prix,NOR,1.4290642857142857
2023,Las Vegas Grand Prix,OCO,1.7021984265734262
2023,Las Vegas Grand Prix,PER,1.0562938811188798
2023,Las Vegas Grand Prix,PIA,0.6661726190476183
2023,Las Vegas Grand Prix,RIC,1.0555932026307024
2023,Las Vegas Grand Prix,RUS,0.528952380952381
2023,Las Vegas Grand Prix,SAI,1.350852333681644
2023,Las Vegas Grand Prix,SAR,1.070864309056956
2023,Las Vegas Grand Prix,STR,1.0068885281385276
2023,Las Vegas Grand Prix,TSU,0.633803691045796
2023,Las Vegas Grand Prix,VER,0.5398507659007657
2023,Las Vegas Grand Prix,ZHO,2.327738352638353
2023,Mexico City Grand Prix,ALB,0.7270272727272734
2023,Mexico City Grand Prix,ALO,0.35960219780219754
2023,Mexico City Grand Prix,BOT,-0.7651243423243423
2023,Mexico City Grand Prix,GAS,-1.7749444444444433
2023,Mexico City Grand Prix,HAM,-0.4019641414141395
2023,Mexico City Grand Prix,HUL,-1.9448227272727279
2023,Mexico City Grand Prix,LEC,-0.2852553221288526
2023,Mexico City Grand Prix,MAG,-1.962600793650793
2023,Mexico City Grand Prix,NOR,0.2838035714285716
2023,Mexico City Grand Prix,OCO,1.3613590909090927
2023,Mexico City Grand Prix,PER,-1.454575324675325
2023,Mexico City Grand Prix,PIA,2.8056416666666664
2023,Mexico City Grand Prix,RIC,0.5174727272727273
2023,Mexico City Grand Prix,RUS,0.571136309523809
2023,Mexico City Grand Prix,SAI,0.9043410714285716
2023,Mexico City Grand Prix,SAR,0.7282277777777765
2023,Mexico City Grand Prix,STR,1.5313999999999997
2023,Mexico City Grand Prix,TSU,0.731940781440782
2023,Mexico City Grand Prix,VER,0.20345454545454564
2023,Mexico City Grand Prix,ZHO,2.423103846153845
2023,Miami Grand Prix,ALB,0.3312571428571448
2023,Miami Grand Prix,ALO,0.22798369565217314
2023,Miami Grand Prix,BOT,0.7828821428571414
2023,Miami Grand Prix,DEV,1.534942857142859
2023,Miami Grand Prix,GAS,1.8395285714285723
2023,Miami Grand Prix,HAM,0.28641095890411045
2023,Miami Grand Prix,HUL,-0.8313714285714289
2023,Miami Grand Prix,LEC,2.140457142857142
2023,Miami Grand Prix,MAG,-0.31142857142857144
2023,Miami Grand Prix,NOR,-2.8499000000000025
2023,Miami Grand Prix,OCO,-0.17536309523809465
2023,Miami Grand Prix,PER,0.6079999999999998
2023,Miami Grand Prix,PIA,0.11639999999999955
2023,Miami Grand Prix,RUS,1.3738142857142859
2023,Miami Grand Prix,SAI,-0.3589780821917804
2023,Miami Grand Prix,SAR,-2.8403
2023,Miami Grand Prix,STR,0.31894047619047655
2023,Miami Grand Prix,TSU,0.6652714285714283
2023,Miami Grand Prix,ZHO,0.9378035714285711
2023,Monaco Grand Prix,ALB,-0.08983333333333396
2023,Monaco Grand Prix,ALO,-0.0680779942279948
2023,Monaco Grand Prix,BOT,3.9702777777777776
2023,Monaco Grand Prix,DEV,2.494086846486847
2023,Monaco Grand Prix,GAS,-0.8799095238095246
2023,Monaco Grand Prix,HAM,1.104018181818182
2023,Monaco Grand Prix,HUL,0.3373583333333332
2023,Monaco Grand Prix,LEC,0.1316892857142863
2023,Monaco Grand Prix,MAG,-1.4300095238095232
2023,Monaco Grand Prix,NOR,-0.6146690476190475
2023,Monaco Grand Prix,OCO,0.7201817460317459
2023,Monaco Grand Prix,PER,0.2090944444444445
2023,Monaco Grand Prix,PIA,2.869336507936508
2023,Monaco Grand Prix,RUS,2.333246614496614
2023,Monaco Grand Prix,SAI,4.418300000000002
2023,Monaco Grand Prix,SAR,0.7811722222222225
2023,Monaco Grand Prix,STR,1.5811507936507943
2023,Monaco Grand Prix,TSU,0.7867090909090909
2023,Monaco Grand Prix,VER,-0.34687692307692264
2023,Monaco Grand Prix,ZHO,5.218686507936508
2023,Saudi Arabian Grand Prix,ALB,0.23436421356421464
2023,Saudi Arabian Grand Prix,ALO,1.4536483516483514
2023,Saudi Arabian Grand Prix,BOT,-0.8289803571428574
2023,Saudi Arabian Grand Prix,DEV,0.8616611111111115
2023,Saudi Arabian Grand Prix,GAS,-0.3737674603174603
2023,Saudi Arabian Grand Prix,HAM,-1.7873039867109644
2023,Saudi Arabian Grand Prix,HUL,-0.6634196803196811
2023,Saudi Arabian Grand Prix,LEC,-1.0467934398934398
2023,Saudi Arabian Grand Prix,MAG,-0.026649999999999313
2023,Saudi Arabian Grand Prix,NOR,2.353291216216216
2023,Saudi Arabian Grand Prix,OCO,1.7861839826839834
2023,Saudi Arabian Grand Prix,PER,-0.05506993006993016
2023,Saudi Arabian Grand Prix,PIA,0.33302142857143124
2023,Saudi Arabian Grand Prix,RUS,-0.9890000819000838
2023,Saudi Arabian Grand Prix,SAI,1.3880859772978948
2023,Saudi Arabian Grand Prix,SAR,0.3140852813852821
2023,Saudi Arabian Grand Prix,STR,1.2416720642720647
2023,Saudi Arabian Grand Prix,TSU,0.3122645021645028
2023,Saudi Arabian Grand Prix,VER,-1.50932668418538
2023,Saudi Arabian Grand Prix,ZHO,1.9473411255411257
2023,Singapore Grand Prix,ALO,1.3836181818181834
2023,Singapore Grand Prix,BOT,0.8345531746031765
2023,Singapore Grand Prix,GAS,4.243594802555169
2023,Singapore Grand Prix,HAM,3.3645818181818195
2023,Singapore Grand Prix,HUL,3.6095499999999996
2023,Singapore Grand Prix,LAW,2.963941758241759
2023,Singapore Grand Prix,LEC,3.266545454545455
2023,Singapore Grand Prix,MAG,2.571000000000001
2023,Singapore Grand Prix,NOR,2.7772047619047604
2023,Singapore Grand Prix,OCO,3.247209090909093
2023,Singapore Grand Prix,PER,4.3653378919860595
2023,Singapore Grand Prix,PIA,1.669950000000001
2023,Singapore Grand Prix,RUS,3.539849425287356
2023,Singapore Grand Prix,SAI,2.396405594405594
2023,Singapore Grand Prix,SAR,1.2500569930069938
2023,Singapore Grand Prix,STR,1.9774445031712478
2023,Singapore Grand Prix,TSU,2.0726199362041475
2023,Singapore Grand Prix,VER,2.777616666666666
2023,Singapore Grand Prix,ZHO,1.7620047619047634
2023,Spanish Grand Prix,ALB,2.35011507936508
2023,Spanish Grand Prix,ALO,-0.46515793650793574
2023,Spanish Grand Prix,BOT,1.0291173160173166
2023,Spanish Grand Prix,DEV,0.6942125000000002
2023,Spanish Grand Prix,GAS,1.591457142857143
2023,Spanish Grand Prix,HAM,0.04555634920634851
2023,Spanish Grand Prix,HUL,0.15574306722689146
2023,Spanish Grand Prix,LEC,0.8562535714285714
2023,Spanish Grand Prix,MAG,0.544339393939396
2023,Spanish Grand Prix,NOR,-0.5000384615384602
2023,Spanish Grand Prix,OCO,1.3226704831932767
2023,Spanish Grand Prix,PER,-2.2243519480519476
2023,Spanish Grand Prix,PIA,-0.7630545454545453
2023,Spanish Grand Prix,RUS,-0.17251537114845994
2023,Spanish Grand Prix,SAI,1.8215782051282052
2023,Spanish Grand Prix,SAR,0.666895743145743
2023,Spanish Grand Prix,STR,-0.2781426948051937
2023,Spanish Grand Prix,TSU,-0.10717032967032894
2023,Spanish Grand Prix,VER,0.4818934951013897
2023,Spanish Grand Prix,ZHO,1.8762833333333333
