season,race,driver,fp2_deg_slope
2023,Abu Dhabi Grand Prix,ALB,3.227272727272727
2023,Abu Dhabi Grand Prix,ALO,-0.8721428571428589
2023,Abu Dhabi Grand Prix,BOT,7.297085714285714
2023,Abu Dhabi Grand Prix,HAM,-0.7042111801242251
2023,Abu Dhabi Grand Prix,LEC,4.152515151515151
2023,Abu Dhabi Grand Prix,MAG,1.2969939393939396
2023,Abu Dhabi Grand Prix,NOR,-0.15089999999999934
2023,Abu Dhabi Grand Prix,OCO,-1.1602261904761921
2023,Abu Dhabi Grand Prix,PER,0.6634571428571434
2023,Abu Dhabi Grand Prix,PIA,2.0479454545454545
2023,Abu Dhabi Grand Prix,RIC,1.8661904761904768
2023,Abu Dhabi Grand Prix,RUS,0.1343214285714284
2023,Abu Dhabi Grand Prix,SAR,3.6051727272727287
2023,Abu Dhabi Grand Prix,STR,0.4062483870967735
2023,Abu Dhabi Grand Prix,TSU,1.265016666666667
2023,Abu Dhabi Grand Prix,VER,4.699800000000001
2023,Abu Dhabi Grand Prix,ZHO,1.6076242424242413
2023,Australian Grand Prix,ALB,-1.0911758241758243
2023,Australian Grand Prix,BOT,-0.9284298701298701
2023,Australian Grand Prix,DEV,-1.5427142857142864
2023,Australian Grand Prix,GAS,-2.6671142857142844
2023,Australian Grand Prix,HAM,-2.3229047619047636
2023,Australian Grand Prix,HUL,-3.855989285714286
2023,Australian Grand Prix,LEC,-0.22174285714285688
2023,Australian Grand Prix,MAG,-2.133116666666667
2023,Australian Grand Prix,NOR,-5.468871428571429
2023,Australian Grand Prix,OCO,-2.4586785714285706
2023,Australian Grand Prix,PER,1.983916666666668
2023,Australian Grand Prix,PIA,0.8832296703296711
2023,Australian Grand Prix,RUS,-2.422232142857143
2023,Australian Grand Prix,SAI,1.9451785714285708
2023,Australian Grand Prix,STR,-4.290500000000002
2023,Australian Grand Prix,TSU,-0.45126785714285844
2023,Australian Grand Prix,VER,-2.512142857142858
2023,Australian Grand Prix,ZHO,-1.4593410589410596
2023,Bahrain Grand Prix,ALB,1.2678999999999994
2023,Bahrain Grand Prix,ALO,0.5143104395604381
2023,Bahrain Grand Prix,BOT,1.801195454545455
2023,Bahrain Grand Prix,DEV,-0.37218174603174575
2023,Bahrain Grand Prix,GAS,0.7820191808191806
2023,Bahrain Grand Prix,HAM,0.1907972027972029
2023,Bahrain Grand Prix,HUL,0.6969818181818176
2023,Bahrain Grand Prix,LEC,0.8494092165898623
2023,Bahrain Grand Prix,MAG,7.802914285714284
2023,Bahrain Grand Prix,NOR,2.0883920366455255
2023,Bahrain Grand Prix,OCO,0.919209324009323
2023,Bahrain Grand Prix,PER,0.9374387432188068
2023,Bahrain Grand Prix,PIA,6.148476785714288
2023,Bahrain Grand Prix,RUS,2.840926262626263
2023,Bahrain Grand Prix,SAI,1.1457295454545469
2023,Bahrain Grand Prix,SAR,1.4444549450549447
2023,Bahrain Grand Prix,STR,-0.3971345367810482
2023,Bahrain Grand Prix,TSU,-0.3747953712953714
2023,Bahrain Grand Prix,VER,0.15148601398601405
2023,Bahrain Grand Prix,ZHO,1.4554688160676537
2023,British Grand Prix,ALB,0.8795749999999996
2023,British Grand Prix,ALO,2.613444055944054
2023,British Grand Prix,BOT,0.48912301587301626
2023,British Grand Prix,DEV,-1.2782222222222204
2023,British Grand Prix,GAS,0.8638664835164832
2023,British Grand Prix,HAM,-0.44239335664335777
2023,British Grand Prix,HUL,1.209629824561403
2023,British Grand Prix,MAG,7.894071428571429
2023,British Grand Prix,NOR,2.2684714285714294
2023,British Grand Prix,OCO,1.4011290322580663
2023,British Grand Prix,PER,0.9311250573197296
2023,British Grand Prix,PIA,-0.6237147186147188
2023,British Grand Prix,RUS,5.869892857142855
2023,British Grand Prix,SAI,2.289495887445888
2023,British Grand Prix,SAR,0.5955928571428576
2023,British Grand Prix,STR,0.525739971139971
2023,British Grand Prix,TSU,-0.8849767316017314
2023,British Grand Prix,VER,1.579818073593074
2023,British Grand Prix,ZHO,2.9572303030303027
2023,Canadian Grand Prix,ALB,-0.9828004901960788
2023,Canadian Grand Prix,ALO,-1.111995400432901
2023,Canadian Grand Prix,BOT,1.5540254329004326
2023,Canadian Grand Prix,DEV,-0.03207976190476258
2023,Canadian Grand Prix,GAS,0.35217121767121795
2023,Canadian Grand Prix,HAM,2.202024175824176
2023,Canadian Grand Prix,HUL,-1.2110476190476214
2023,Canadian Grand Prix,LEC,0.39160769230769304
2023,Canadian Grand Prix,MAG,-0.29278382352941157
2023,Canadian Grand Prix,NOR,-0.09428697478991606
2023,Canadian Grand Prix,OCO,-2.097697802197802
2023,Canadian Grand Prix,PER,-1.1568598901098899
2023,Canadian Grand Prix,PIA,-1.101238994338995
2023,Canadian Grand Prix,RUS,-0.065771428571429
2023,Canadian Grand Prix,SAI,-0.377164560439561
2023,Canadian Grand Prix,SAR,-0.7794105889724311
2023,Canadian Grand Prix,STR,-0.6288666666666668
2023,Canadian Grand Prix,TSU,1.7276461904761906
2023,Canadian Grand Prix,VER,-1.2990962535014012
2023,Canadian Grand Prix,ZHO,-1.5431642135642132
2023,Dutch Grand Prix,ALB,0.8536227396021702
2023,Dutch Grand Prix,ALO,1.661200054112555
2023,Dutch Grand Prix,BOT,-0.27587245461720455
2023,Dutch Grand Prix,GAS,0.5565870098039211
2023,Dutch Grand Prix,HAM,-0.4411712121212113
2023,Dutch Grand Prix,HUL,0.5312773809523803
2023,Dutch Grand Prix,LEC,-1.5102357932123116
2023,Dutch Grand Prix,MAG,-0.23975588235294165
2023,Dutch Grand Prix,NOR,-0.5533994227994227
2023,Dutch Grand Prix,OCO,1.647356127450982
2023,Dutch Grand Prix,PER,0.5903839285714282
2023,Dutch Grand Prix,RIC,6.817799999999998
2023,Dutch Grand Prix,RUS,4.908933333333332
2023,Dutch Grand Prix,SAI,-0.0980109890109897
2023,Dutch Grand Prix,SAR,2.1566216616716622
2023,Dutch Grand Prix,STR,2.2843723484848484
2023,Dutch Grand Prix,TSU,0.795628081232493
2023,Dutch Grand Prix,VER,-0.007580769230768336
2023,Dutch Grand Prix,ZHO,5.21476923076923
2023,Hungarian Grand Prix,ALB,0.9010265756302513
2023,Hungarian Grand Prix,ALO,0.2131208791208791
2023,Hungarian Grand Prix,BOT,0.7889123271889402
2023,Hungarian Grand Prix,GAS,0.5538144238358336
2023,Hungarian Grand Prix,HAM,0.1668464285714287
2023,Hungarian Grand Prix,HUL,1.4502249742002067
2023,Hungarian Grand Prix,LEC,4.084035714285716
2023,Hungarian Grand Prix,MAG,-0.30228803258145376
2023,Hungarian Grand Prix,NOR,0.15583613445378208
2023,Hungarian Grand Prix,OCO,1.7064210784313727
2023,Hungarian Grand Prix,PIA,3.659514285714287
2023,Hungarian Grand Prix,RIC,-1.0606370129870133
2023,Hungarian Grand Prix,RUS,6.451520634920636
2023,Hungarian Grand Prix,SAI,7.689845238095243
2023,Hungarian Grand Prix,SAR,1.6330014705882374
2023,Hungarian Grand Prix,STR,0.0018230158730164943
2023,Hungarian Grand Prix,TSU,0.24448542043399524
2023,Hungarian Grand Prix,VER,2.7641680327868854
2023,Hungarian Grand Prix,ZHO,0.33901125541125504
2023,Italian Grand Prix,GAS,-0.4901178571428557
2023,Italian Grand Prix,HAM,-0.09167857142857218
2023,Italian Grand Prix,LAW,-2.7410499999999995
2023,Italian Grand Prix,LEC,0.7848837837837851
2023,Italian Grand Prix,OCO,-0.09069999999999666
2023,Italian Grand Prix,PIA,1.32717142857143
2023,Italian Grand Prix,RUS,1.963467213114753
2023,Italian Grand Prix,SAR,-7.030500000000003
2023,Japanese Grand Prix,ALB,-2.2774500000000004
2023,Japanese Grand Prix,ALO,0.24184999999999973
2023,Japanese Grand Prix,BOT,2.7918412162162167
2023,Japanese Grand Prix,GAS,-2.152428571428574
2023,Japanese Grand Prix,HAM,0.02310000000000087
2023,Japanese Grand Prix,HUL,-1.2252105708245233
2023,Japanese Grand Prix,LAW,0.5951785714285716
2023,Japanese Grand Prix,LEC,0.6194523809523824
2023,Japanese Grand Prix,MAG,0.42333333333333373
2023,Japanese Grand Prix,NOR,0.28601818181818217
2023,Japanese Grand Prix,OCO,-0.008642857142856791
2023,Japanese Grand Prix,PER,0.22519090909090902
2023,Japanese Grand Prix,PIA,-1.6339428571428567
2023,Japanese Grand Prix,RUS,0.27453571428571416
2023,Japanese Grand Prix,SAI,0.47291666666666676
2023,Japanese Grand Prix,SAR,-0.25399880952380993
2023,Japanese Grand Prix,STR,0.6702000000000012
2023,Japanese Grand Prix,TSU,-0.8072583333333336
2023,Japanese Grand Prix,VER,0.7119642857142856
2023,Japanese Grand Prix,ZHO,0.935571428571425
2023,Las Vegas Grand Prix,ALB,0.5988502705627706
2023,Las Vegas Grand Prix,ALO,1.0575293290043286
2023,Las Vegas Grand Prix,BOT,1.1538625000000002
2023,Las Vegas Grand Prix,GAS,1.4089696428571428
