season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,position,win,dnf
2022,Austrian Grand Prix,ALO,78.18115789473684,14.210158659928846,68.832,19,66.016,7,SOFT,-0.4006428571428572,10,0,1
2022,Austrian Grand Prix,BOT,75.82673913043479,11.87024176140942,69.251,23,66.319,10,SOFT,0.3108131868131867,11,0,1
2022,Austrian Grand Prix,GAS,73.91257142857143,12.928197814184662,69.579,35,66.16,19,SOFT,0.0962016456582635,15,0,1
2022,Austrian Grand Prix,HAM,78.82246153846154,16.066774736576647,69.35,13,65.475,12,SOFT,2.095154545454547,3,0,1
2022,Austrian Grand Prix,LAT,75.4920606060606,11.284865927259045,70.261,33,67.003,8,SOFT,-0.3289280183052238,19,0,1
2022,Austrian Grand Prix,LEC,76.1589,15.967684795653174,68.66,40,65.013,24,SOFT,0.1618359022556389,1,1,1
2022,Austrian Grand Prix,MAG,76.40977419354839,14.3848160542281,69.96,31,65.879,21,SOFT,-0.0921467811600162,8,0,1
2022,Austrian Grand Prix,MSC,75.58693103448276,10.42593771367159,69.7,29,66.011,21,SOFT,-0.9848911088911084,6,0,1
2022,Austrian Grand Prix,NOR,73.90017142857143,9.55861848707817,69.519,35,66.33,8,SOFT,-0.6286483405483408,7,0,1
2022,Austrian Grand Prix,OCO,75.56559090909091,11.67353863050998,68.848,22,65.726,26,SOFT,0.1159939560439554,5,0,1
2022,Austrian Grand Prix,PER,73.06576470588234,8.62861961662545,69.179,34,65.404,20,SOFT,0.003076678876678,20,0,0
2022,Austrian Grand Prix,RIC,75.0298064516129,9.278082472218614,69.852,31,66.613,9,SOFT,0.4007323676323677,9,0,1
2022,Austrian Grand Prix,RUS,76.28613333333332,13.612831904654076,69.24,30,65.431,21,SOFT,1.2456398656898662,4,0,1
2022,Austrian Grand Prix,SAI,76.42862162162162,13.830911071765124,68.61,37,65.066,24,SOFT,-1.2771492285492294,3,0,1
2022,Austrian Grand Prix,STR,74.19341025641026,9.079748378492331,69.525,39,66.847,11,SOFT,0.3599877450980391,13,0,1
2022,Austrian Grand Prix,TSU,74.63154054054054,9.50382575187077,70.005,37,66.463,10,SOFT,-0.1131667748917748,17,0,1
2022,Austrian Grand Prix,VER,75.20396551724137,12.054120035083324,68.778,29,64.984,17,SOFT,-2.641575824175826,2,0,1
2022,Austrian Grand Prix,VET,74.68765853658536,8.382049238133108,69.602,41,66.652,11,SOFT,-0.1516041666666666,16,0,1
2022,Austrian Grand Prix,ZHO,73.26303030303029,7.86331941868719,69.665,33,66.901,8,SOFT,0.4964081027667985,14,0,1
2022,Azerbaijan Grand Prix,ALB,122.43554545454543,15.69185195165718,106.397,11,104.719,4,SOFT,1.828464285714288,12,0,1
2022,Azerbaijan Grand Prix,ALO,116.5188888888889,13.591897655194474,104.142,18,103.173,19,SOFT,1.7445272727272734,7,0,1
2022,Azerbaijan Grand Prix,BOT,116.7056,11.327647056276907,105.115,20,104.444,11,SOFT,2.091957142857141,11,0,1
2022,Azerbaijan Grand Prix,GAS,116.95295238095238,13.149695929854008,104.315,21,102.845,19,SOFT,1.7669341269841272,5,0,1
2022,Azerbaijan Grand Prix,HAM,119.30172727272726,14.168788075947976,104.874,22,102.924,21,SOFT,1.5564783549783554,4,0,1
2022,Azerbaijan Grand Prix,LAT,120.71685,14.75706859449503,107.218,20,105.367,4,SOFT,3.325698672911788,15,0,1
2022,Azerbaijan Grand Prix,LEC,121.29964705882354,17.463968449142566,103.224,17,101.359,18,SOFT,3.331779448621554,17,0,1
2022,Azerbaijan Grand Prix,MAG,116.93327272727274,10.52337373107991,105.588,22,104.643,2,SOFT,1.6868571428571435,11,0,1
2022,Azerbaijan Grand Prix,MSC,123.675625,14.83523310175251,106.425,16,105.775,2,SOFT,1.359800000000002,14,0,1
2022,Azerbaijan Grand Prix,NOR,120.106,14.712604898143931,104.771,19,103.398,14,SOFT,1.013753571428572,9,0,1
2022,Azerbaijan Grand Prix,OCO,118.2653,15.021373176770144,104.609,20,103.585,9,SOFT,2.030464718614719,10,0,1
2022,Azerbaijan Grand Prix,PER,114.79721428571428,14.62704540951753,103.472,14,101.641,17,SOFT,3.2375565997738827,2,0,1
2022,Azerbaijan Grand Prix,RIC,118.1862380952381,10.953190242594909,105.059,21,103.574,16,SOFT,0.1228333333333352,8,0,1
2022,Azerbaijan Grand Prix,RUS,116.75709523809525,11.335951860804467,104.548,21,102.712,22,SOFT,0.0392139610389611,3,0,1
2022,Azerbaijan Grand Prix,SAI,119.3973888888889,16.62916472430605,104.274,18,101.814,15,SOFT,3.7269523809523832,4,0,1
2022,Azerbaijan Grand Prix,STR,120.23481818181818,14.2419584281843,104.874,22,105.371,2,SOFT,-0.3552580086580084,15,0,1
