season,race,driver,lap_number,lap_time,compound,stint,tyre_life
2024,Abu Dhabi Grand Prix,ALB,2,85.791,MEDIUM,1,2
2024,Abu Dhabi Grand Prix,ALB,3,132.926,MEDIUM,1,3
2024,Abu Dhabi Grand Prix,ALB,4,111.238,MEDIUM,1,4
2024,Abu Dhabi Grand Prix,ALB,6,85.307,MEDIUM,2,6
2024,Abu Dhabi Grand Prix,ALB,8,105.013,MEDIUM,2,8
2024,Abu Dhabi Grand Prix,ALB,10,84.269,SOFT,3,2
2024,Abu Dhabi Grand Prix,ALB,11,114.152,SOFT,3,3
2024,Abu Dhabi Grand Prix,ALB,13,111.585,MEDIUM,5,9
2024,Abu Dhabi Grand Prix,ALB,16,89.168,SOFT,6,2
2024,Abu Dhabi Grand Prix,ALB,17,90.184,SOFT,6,3
2024,Abu Dhabi Grand Prix,ALB,18,90.241,SOFT,6,4
2024,Abu Dhabi Grand Prix,ALB,19,90.566,SOFT,6,5
2024,Abu Dhabi Grand Prix,ALB,20,90.075,SOFT,6,6
2024,Abu Dhabi Grand Prix,ALB,21,135.843,SOFT,6,7
2024,Abu Dhabi Grand Prix,ALB,22,118.302,SOFT,6,8
2024,Abu Dhabi Grand Prix,ALO,2,85.71,MEDIUM,1,2
2024,Abu Dhabi Grand Prix,ALO,4,85.584,MEDIUM,1,4
2024,Abu Dhabi Grand Prix,ALO,6,129.747,MEDIUM,1,6
2024,Abu Dhabi Grand Prix,ALO,7,107.576,MEDIUM,1,7
2024,Abu Dhabi Grand Prix,ALO,9,84.574,SOFT,2,2
2024,Abu Dhabi Grand Prix,ALO,11,129.222,SOFT,2,4
2024,Abu Dhabi Grand Prix,ALO,12,84.727,SOFT,2,5
2024,Abu Dhabi Grand Prix,ALO,13,106.658,SOFT,2,6
2024,Abu Dhabi Grand Prix,ALO,15,89.892,MEDIUM,3,2
2024,Abu Dhabi Grand Prix,ALO,16,90.074,MEDIUM,3,3
2024,Abu Dhabi Grand Prix,ALO,17,90.002,MEDIUM,3,4
2024,Abu Dhabi Grand Prix,ALO,18,90.06,MEDIUM,3,5
2024,Abu Dhabi Grand Prix,ALO,19,90.192,MEDIUM,3,6
2024,Abu Dhabi Grand Prix,ALO,20,90.593,MEDIUM,3,7
2024,Abu Dhabi Grand Prix,ALO,21,90.989,MEDIUM,3,8
2024,Abu Dhabi Grand Prix,ALO,22,94.127,MEDIUM,3,9
2024,Abu Dhabi Grand Prix,ALO,23,110.218,SOFT,4,1
2024,Abu Dhabi Grand Prix,ALO,24,125.793,SOFT,4,2
2024,Abu Dhabi Grand Prix,ALO,25,120.431,SOFT,4,3
2024,Abu Dhabi Grand Prix,BOT,2,85.54,MEDIUM,1,2
2024,Abu Dhabi Grand Prix,BOT,3,128.554,MEDIUM,1,3
2024,Abu Dhabi Grand Prix,BOT,4,85.667,MEDIUM,1,4
2024,Abu Dhabi Grand Prix,BOT,5,134.358,MEDIUM,1,5
2024,Abu Dhabi Grand Prix,BOT,6,85.558,MEDIUM,1,6
2024,Abu Dhabi Grand Prix,BOT,7,106.226,MEDIUM,1,7
2024,Abu Dhabi Grand Prix,BOT,9,84.23,SOFT,2,2
2024,Abu Dhabi Grand Prix,BOT,10,140.923,SOFT,2,3
2024,Abu Dhabi Grand Prix,BOT,12,84.259,SOFT,3,5
2024,Abu Dhabi Grand Prix,BOT,13,96.807,SOFT,3,6
2024,Abu Dhabi Grand Prix,BOT,15,118.883,MEDIUM,5,8
2024,Abu Dhabi Grand Prix,BOT,16,89.383,MEDIUM,5,9
2024,Abu Dhabi Grand Prix,BOT,17,89.903,MEDIUM,5,10
2024,Abu Dhabi Grand Prix,BOT,18,90.223,MEDIUM,5,11
2024,Abu Dhabi Grand Prix,BOT,19,90.145,MEDIUM,5,12
2024,Abu Dhabi Grand Prix,BOT,20,90.358,MEDIUM,5,13
2024,Abu Dhabi Grand Prix,BOT,21,90.004,MEDIUM,5,14
2024,Abu Dhabi Grand Prix,BOT,22,90.796,MEDIUM,5,15
2024,Abu Dhabi Grand Prix,BOT,23,107.836,MEDIUM,5,16
