season,race,driver,best_quali_lap,best_quali_lap_number,best_quali_compound
2022,Abu Dhabi Grand Prix,ALB,86.028,8,SOFT
2022,Abu Dhabi Grand Prix,ALO,85.096,11,SOFT
2022,Abu Dhabi Grand Prix,BOT,85.892,5,SOFT
2022,Abu Dhabi Grand Prix,GAS,85.859,5,SOFT
2022,Abu Dhabi Grand Prix,HAM,84.508,20,SOFT
2022,Abu Dhabi Grand Prix,LAT,86.054,8,SOFT
2022,Abu Dhabi Grand Prix,LEC,84.092,16,SOFT
2022,Abu Dhabi Grand Prix,MAG,85.834,8,SOFT
2022,Abu Dhabi Grand Prix,MSC,85.225,14,SOFT
2022,Abu Dhabi Grand Prix,NOR,84.769,16,SOFT
2022,Abu Dhabi Grand Prix,OCO,84.83,16,SOFT
2022,Abu Dhabi Grand Prix,PER,84.052,17,SOFT
2022,Abu Dhabi Grand Prix,RIC,85.045,14,SOFT
2022,Abu Dhabi Grand Prix,RUS,84.511,19,SOFT
2022,Abu Dhabi Grand Prix,SAI,84.242,15,SOFT
2022,Abu Dhabi Grand Prix,STR,85.359,14,SOFT
2022,Abu Dhabi Grand Prix,TSU,85.219,14,SOFT
2022,Abu Dhabi Grand Prix,VER,83.824,16,SOFT
2022,Abu Dhabi Grand Prix,VET,84.961,17,SOFT
2022,Abu Dhabi Grand Prix,ZHO,85.408,11,SOFT
2022,Australian Grand Prix,ALB,80.135,7,SOFT
2022,Australian Grand Prix,ALO,78.815,8,SOFT
2022,Australian Grand Prix,BOT,79.251,4,SOFT
2022,Australian Grand Prix,GAS,79.226,13,SOFT
2022,Australian Grand Prix,HAM,78.825,27,SOFT
2022,Australian Grand Prix,LAT,81.372,4,SOFT
2022,Australian Grand Prix,LEC,77.868,20,SOFT
2022,Australian Grand Prix,MAG,80.254,7,SOFT
2022,Australian Grand Prix,MSC,80.104,7,SOFT
2022,Australian Grand Prix,NOR,78.703,19,SOFT
2022,Australian Grand Prix,OCO,79.061,22,SOFT
2022,Australian Grand Prix,PER,78.24,18,SOFT
2022,Australian Grand Prix,RIC,79.032,18,SOFT
2022,Australian Grand Prix,RUS,78.933,25,SOFT
2022,Australian Grand Prix,SAI,78.469,15,SOFT
2022,Australian Grand Prix,STR,106.833,1,SOFT
2022,Australian Grand Prix,TSU,79.424,16,SOFT
2022,Australian Grand Prix,VER,78.154,20,SOFT
2022,Australian Grand Prix,VET,81.149,2,SOFT
2022,Australian Grand Prix,ZHO,79.91,7,SOFT
2022,Austrian Grand Prix,ALB,66.23,14,SOFT
2022,Austrian Grand Prix,ALO,66.016,7,SOFT
2022,Austrian Grand Prix,BOT,66.319,10,SOFT
2022,Austrian Grand Prix,GAS,66.16,19,SOFT
2022,Austrian Grand Prix,HAM,65.475,12,SOFT
2022,Austrian Grand Prix,LAT,67.003,8,SOFT
2022,Austrian Grand Prix,LEC,65.013,24,SOFT
2022,Austrian Grand Prix,MAG,65.879,21,SOFT
2022,Austrian Grand Prix,MSC,66.011,21,SOFT
2022,Austrian Grand Prix,NOR,66.33,8,SOFT
2022,Austrian Grand Prix,OCO,65.726,26,SOFT
2022,Austrian Grand Prix,PER,65.404,20,SOFT
2022,Austrian Grand Prix,RIC,66.613,9,SOFT
2022,Austrian Grand Prix,RUS,65.431,21,SOFT
2022,Austrian Grand Prix,SAI,65.066,24,SOFT
2022,Austrian Grand Prix,STR,66.847,11,SOFT
2022,Austrian Grand Prix,TSU,66.463,10,SOFT
2022,Austrian Grand Prix,VER,64.984,17,SOFT
2022,Austrian Grand Prix,VET,66.652,11,SOFT
2022,Austrian Grand Prix,ZHO,66.901,8,SOFT
2022,Azerbaijan Grand Prix,ALB,104.719,4,SOFT
2022,Azerbaijan Grand Prix,ALO,103.173,19,SOFT
2022,Azerbaijan Grand Prix,BOT,104.444,11,SOFT
2022,Azerbaijan Grand Prix,GAS,102.845,19,SOFT
2022,Azerbaijan Grand Prix,HAM,102.924,21,SOFT
2022,Azerbaijan Grand Prix,LAT,105.367,4,SOFT
2022,Azerbaijan Grand Prix,LEC,101.359,18,SOFT
2022,Azerbaijan Grand Prix,MAG,104.643,2,SOFT
2022,Azerbaijan Grand Prix,MSC,105.775,2,SOFT
2022,Azerbaijan Grand Prix,NOR,103.398,14,SOFT
2022,Azerbaijan Grand Prix,OCO,103.585,9,SOFT
2022,Azerbaijan Grand Prix,PER,101.641,17,SOFT
2022,Azerbaijan Grand Prix,RIC,103.574,16,SOFT
2022,Azerbaijan Grand Prix,RUS,102.712,22,SOFT
