season,race,driver,lap_number,lap_time,compound,stint,tyre_life
2023,Abu Dhabi Grand Prix,ALB,2,86.941,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,ALB,3,138.021,MEDIUM,1,3
2023,Abu Dhabi Grand Prix,ALB,4,146.889,MEDIUM,2,4
2023,Abu Dhabi Grand Prix,ALB,9,86.081,SOFT,4,4
2023,Abu Dhabi Grand Prix,ALB,10,97.196,SOFT,4,5
2023,Abu Dhabi Grand Prix,ALB,11,112.722,MEDIUM,5,6
2023,Abu Dhabi Grand Prix,ALB,12,88.044,MEDIUM,5,7
2023,Abu Dhabi Grand Prix,ALB,13,88.153,MEDIUM,5,8
2023,Abu Dhabi Grand Prix,ALB,14,87.549,MEDIUM,5,9
2023,Abu Dhabi Grand Prix,ALB,15,87.953,MEDIUM,5,10
2023,Abu Dhabi Grand Prix,ALB,16,88.401,MEDIUM,5,11
2023,Abu Dhabi Grand Prix,ALB,17,88.316,MEDIUM,5,12
2023,Abu Dhabi Grand Prix,ALB,18,88.335,MEDIUM,5,13
2023,Abu Dhabi Grand Prix,ALB,19,125.83,MEDIUM,5,14
2023,Abu Dhabi Grand Prix,ALB,20,142.093,MEDIUM,5,15
2023,Abu Dhabi Grand Prix,ALO,2,87.837,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,ALO,3,141.337,MEDIUM,1,3
2023,Abu Dhabi Grand Prix,ALO,4,86.891,MEDIUM,1,4
2023,Abu Dhabi Grand Prix,ALO,8,86.4,MEDIUM,3,8
2023,Abu Dhabi Grand Prix,ALO,9,94.93,MEDIUM,3,9
2023,Abu Dhabi Grand Prix,ALO,10,139.993,SOFT,4,1
2023,Abu Dhabi Grand Prix,ALO,11,85.397,SOFT,4,2
2023,Abu Dhabi Grand Prix,ALO,12,136.745,SOFT,4,3
2023,Abu Dhabi Grand Prix,ALO,13,87.709,SOFT,4,4
2023,Abu Dhabi Grand Prix,ALO,14,148.994,SOFT,4,5
2023,Abu Dhabi Grand Prix,ALO,15,85.969,SOFT,4,6
2023,Abu Dhabi Grand Prix,ALO,16,110.753,SOFT,4,7
2023,Abu Dhabi Grand Prix,ALO,17,124.422,SOFT,4,8
2023,Abu Dhabi Grand Prix,BOT,2,87.135,HARD,1,2
2023,Abu Dhabi Grand Prix,BOT,3,148.48,HARD,1,3
2023,Abu Dhabi Grand Prix,BOT,4,86.622,HARD,1,4
2023,Abu Dhabi Grand Prix,BOT,8,85.024,SOFT,3,3
2023,Abu Dhabi Grand Prix,BOT,9,99.899,SOFT,3,4
2023,Abu Dhabi Grand Prix,BOT,11,89.08,HARD,4,7
2023,Abu Dhabi Grand Prix,BOT,12,89.093,HARD,4,8
2023,Abu Dhabi Grand Prix,BOT,13,89.159,HARD,4,9
2023,Abu Dhabi Grand Prix,BOT,14,89.209,HARD,4,10
2023,Abu Dhabi Grand Prix,BOT,15,113.784,HARD,4,11
2023,Abu Dhabi Grand Prix,BOT,16,125.335,HARD,4,12
2023,Abu Dhabi Grand Prix,GAS,2,87.013,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,GAS,3,138.088,MEDIUM,1,3
2023,Abu Dhabi Grand Prix,GAS,4,86.848,MEDIUM,1,4
2023,Abu Dhabi Grand Prix,GAS,8,85.321,SOFT,3,3
2023,Abu Dhabi Grand Prix,GAS,9,104.175,SOFT,3,4
2023,Abu Dhabi Grand Prix,GAS,11,90.362,MEDIUM,4,7
2023,Abu Dhabi Grand Prix,GAS,12,89.925,MEDIUM,4,8
2023,Abu Dhabi Grand Prix,GAS,13,90.53,MEDIUM,4,9
2023,Abu Dhabi Grand Prix,GAS,15,138.42,MEDIUM,4,11
2023,Abu Dhabi Grand Prix,HAM,2,87.342,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,HAM,7,106.335,MEDIUM,3,7
2023,Abu Dhabi Grand Prix,HAM,8,86.771,MEDIUM,3,8
2023,Abu Dhabi Grand Prix,HAM,9,94.99,MEDIUM,3,9
2023,Abu Dhabi Grand Prix,HAM,10,149.544,SOFT,4,1
2023,Abu Dhabi Grand Prix,HAM,11,85.315,SOFT,4,2
2023,Abu Dhabi Grand Prix,HAM,13,109.879,SOFT,4,4
2023,Abu Dhabi Grand Prix,HAM,14,96.481,SOFT,4,5
2023,Abu Dhabi Grand Prix,HAM,15,123.758,SOFT,4,6
2023,Abu Dhabi Grand Prix,HAM,16,123.717,SOFT,4,7
2023,Abu Dhabi Grand Prix,HUL,2,87.147,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,HUL,4,118.306,MEDIUM,1,4
2023,Abu Dhabi Grand Prix,LEC,2,115.154,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,LEC,3,86.571,MEDIUM,1,3
2023,Abu Dhabi Grand Prix,LEC,7,84.809,SOFT,3,2
2023,Abu Dhabi Grand Prix,LEC,8,121.135,SOFT,3,3
2023,Abu Dhabi Grand Prix,LEC,9,88.602,SOFT,3,4
2023,Abu Dhabi Grand Prix,LEC,10,88.496,SOFT,3,5
2023,Abu Dhabi Grand Prix,LEC,11,88.08,SOFT,3,6
2023,Abu Dhabi Grand Prix,LEC,12,87.794,SOFT,3,7
2023,Abu Dhabi Grand Prix,LEC,13,88.429,SOFT,3,8
2023,Abu Dhabi Grand Prix,LEC,14,125.035,SOFT,3,9
2023,Abu Dhabi Grand Prix,LEC,15,134.131,SOFT,3,10
2023,Abu Dhabi Grand Prix,LEC,16,130.644,SOFT,3,11
2023,Abu Dhabi Grand Prix,MAG,2,86.413,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,MAG,8,95.689,MEDIUM,3,6
2023,Abu Dhabi Grand Prix,MAG,9,113.101,MEDIUM,4,7
2023,Abu Dhabi Grand Prix,MAG,10,91.948,MEDIUM,4,8
2023,Abu Dhabi Grand Prix,MAG,11,91.989,MEDIUM,4,9
2023,Abu Dhabi Grand Prix,MAG,12,91.711,MEDIUM,4,10
2023,Abu Dhabi Grand Prix,MAG,13,91.734,MEDIUM,4,11
2023,Abu Dhabi Grand Prix,MAG,14,91.883,MEDIUM,4,12
2023,Abu Dhabi Grand Prix,MAG,15,91.999,MEDIUM,4,13
2023,Abu Dhabi Grand Prix,MAG,16,91.999,MEDIUM,4,14
2023,Abu Dhabi Grand Prix,MAG,17,111.122,MEDIUM,4,15
2023,Abu Dhabi Grand Prix,MAG,18,121.848,MEDIUM,4,16
2023,Abu Dhabi Grand Prix,NOR,2,87.226,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,NOR,3,128.565,MEDIUM,1,3
2023,Abu Dhabi Grand Prix,NOR,8,85.625,MEDIUM,4,8
2023,Abu Dhabi Grand Prix,NOR,9,94.953,MEDIUM,4,9
2023,Abu Dhabi Grand Prix,NOR,10,133.825,SOFT,5,1
2023,Abu Dhabi Grand Prix,NOR,11,109.85,SOFT,5,2
2023,Abu Dhabi Grand Prix,NOR,12,84.852,SOFT,5,3
2023,Abu Dhabi Grand Prix,NOR,13,93.745,SOFT,5,4
2023,Abu Dhabi Grand Prix,NOR,14,88.208,SOFT,5,5
2023,Abu Dhabi Grand Prix,NOR,15,88.07,SOFT,5,6
2023,Abu Dhabi Grand Prix,NOR,16,88.624,SOFT,5,7
2023,Abu Dhabi Grand Prix,NOR,17,106.689,SOFT,5,8
2023,Abu Dhabi Grand Prix,NOR,18,133.465,SOFT,5,9
2023,Abu Dhabi Grand Prix,OCO,2,87.258,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,OCO,3,137.352,MEDIUM,1,3
2023,Abu Dhabi Grand Prix,OCO,4,87.007,MEDIUM,1,4
2023,Abu Dhabi Grand Prix,OCO,8,86.463,MEDIUM,3,8
2023,Abu Dhabi Grand Prix,OCO,9,103.378,MEDIUM,3,9
2023,Abu Dhabi Grand Prix,OCO,10,134.577,SOFT,4,1
2023,Abu Dhabi Grand Prix,OCO,11,85.566,SOFT,4,2
2023,Abu Dhabi Grand Prix,OCO,12,131.79,SOFT,4,3
2023,Abu Dhabi Grand Prix,OCO,13,129.035,SOFT,4,4
2023,Abu Dhabi Grand Prix,OCO,14,85.785,SOFT,4,5
2023,Abu Dhabi Grand Prix,OCO,15,103.844,SOFT,4,6
2023,Abu Dhabi Grand Prix,OCO,16,108.996,SOFT,4,7
2023,Abu Dhabi Grand Prix,OCO,17,122.074,SOFT,4,8
2023,Abu Dhabi Grand Prix,PER,2,87.093,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,PER,3,145.749,MEDIUM,1,3
2023,Abu Dhabi Grand Prix,PER,8,86.811,MEDIUM,4,8
2023,Abu Dhabi Grand Prix,PER,10,86.234,MEDIUM,4,10
2023,Abu Dhabi Grand Prix,PER,11,101.528,MEDIUM,4,11
2023,Abu Dhabi Grand Prix,PER,12,147.429,SOFT,5,1
2023,Abu Dhabi Grand Prix,PER,13,89.5,SOFT,5,2
2023,Abu Dhabi Grand Prix,PER,14,119.064,SOFT,5,3
2023,Abu Dhabi Grand Prix,PER,15,85.112,SOFT,5,4
2023,Abu Dhabi Grand Prix,PER,16,135.201,SOFT,5,5
2023,Abu Dhabi Grand Prix,PER,17,131.443,SOFT,5,6
2023,Abu Dhabi Grand Prix,PIA,2,86.466,MEDIUM,1,2
2023,Abu Dhabi Grand Prix,PIA,7,85.361,SOFT,3,2
2023,Abu Dhabi Grand Prix,PIA,8,100.314,SOFT,3,3
2023,Abu Dhabi Grand Prix,PIA,9,113.446,MEDIUM,4,6
