season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count
2024,Bahrain Grand Prix,NOR,105.58327272727273,15.765409384628587,92.608,22
2024,Bahrain Grand Prix,OCO,109.3187619047619,19.252573736788445,92.027,21
2024,Bahrain Grand Prix,PER,104.15499999999999,15.511067016810934,91.115,22
2024,Bahrain Grand Prix,PIA,103.81816666666667,14.674903811748068,90.784,24
2024,Bahrain Grand Prix,RIC,104.96108695652174,14.409176886191291,91.516,23
2024,Bahrain Grand Prix,RUS,106.59294444444444,19.931599860441008,90.58,18
2024,Bahrain Grand Prix,SAI,108.66300000000001,18.10641796988018,90.769,21
2024,Bahrain Grand Prix,SAR,107.654,17.71293599389467,91.715,22
2024,Bahrain Grand Prix,STR,105.80486363636363,16.89598214931713,90.891,22
2024,Bahrain Grand Prix,TSU,106.52148,16.545364915185964,91.881,25
2024,Bahrain Grand Prix,VER,102.49319047619048,13.762315472401609,90.851,21
2024,Bahrain Grand Prix,ZHO,107.39439130434782,18.72001513145059,92.048,23
2024,Belgian Grand Prix,ALB,112.1923125,9.069773100570563,103.892,16
2024,Belgian Grand Prix,ALO,113.56766666666667,11.360029424425338,103.538,15
2024,Belgian Grand Prix,BOT,116.2151111111111,12.41935211859909,103.675,18
2024,Belgian Grand Prix,GAS,110.15041666666667,4.074196216507748,103.829,12
2024,Belgian Grand Prix,HAM,115.02994444444445,13.411493093490074,103.519,18
2024,Belgian Grand Prix,HUL,114.3054375,11.929569033672879,103.846,16
2024,Belgian Grand Prix,LEC,114.9705294117647,11.239169570733678,102.837,17
2024,Belgian Grand Prix,MAG,113.03964285714287,11.063219155987403,103.485,14
2024,Belgian Grand Prix,NOR,113.35700000000001,11.19345129163395,102.26,12
2024,Belgian Grand Prix,OCO,111.188125,8.020119316444116,103.401,16
2024,Belgian Grand Prix,PER,113.22370588235293,12.38470270012923,103.504,17
2024,Belgian Grand Prix,PIA,112.13466666666666,9.541506047111156,102.475,18
2024,Belgian Grand Prix,RIC,112.83083333333333,9.096189510232328,103.823,12
2024,Belgian Grand Prix,RUS,113.86464705882354,12.012557424114444,103.29,17
2024,Belgian Grand Prix,SAI,114.83161111111112,12.728482882375578,103.098,18
2024,Belgian Grand Prix,SAR,112.719,7.653923920120974,104.226,17
2024,Belgian Grand Prix,STR,111.95114285714286,8.15449965316122,103.532,14
2024,Belgian Grand Prix,TSU,113.8795,9.898837164030933,104.348,16
2024,Belgian Grand Prix,VER,115.40809523809524,13.218723512142773,102.477,21
2024,Belgian Grand Prix,ZHO,114.55705882352942,11.4848090236113,104.302,17
2024,British Grand Prix,ALB,100.6458695652174,14.979206895209307,87.645,23
2024,British Grand Prix,ALO,98.50957142857143,15.00499770933481,87.372,21
2024,British Grand Prix,BOT,104.75846153846155,20.61152024400992,87.381,13
2024,British Grand Prix,GAS,103.76242105263157,18.49196283769366,87.732,19
2024,British Grand Prix,HAM,96.73670588235295,12.749275909658097,87.202,17
2024,British Grand Prix,HUL,106.66277272727274,21.480491538961846,86.99,22
2024,British Grand Prix,LEC,103.32563636363638,19.875343242428016,87.15,22
2024,British Grand Prix,MAG,109.72226666666667,20.63429063984328,88.122,15
2024,British Grand Prix,NOR,99.11473913043478,16.199875053439012,86.549,23
2024,British Grand Prix,OCO,103.77073333333333,19.11852767966444,87.743,15
2024,British Grand Prix,PER,106.61030000000001,20.05621481604563,86.983,20
2024,British Grand Prix,PIA,98.16475,13.379644995192075,86.88,20
2024,British Grand Prix,RIC,105.00319999999999,19.563871997558206,87.916,20
2024,British Grand Prix,RUS,101.66815789473684,17.889951419917764,87.294,19
2024,British Grand Prix,SAI,106.62588888888888,22.05141539733087,87.249,27
2024,British Grand Prix,SAR,102.53714285714287,18.264661516944994,87.809,21
2024,British Grand Prix,STR,97.51960000000001,14.29682310764978,87.274,15
2024,British Grand Prix,TSU,104.08155,19.68565855608702,87.745,20
2024,British Grand Prix,VER,95.74464705882353,7.256724587763212,87.233,17
2024,British Grand Prix,ZHO,106.820625,22.509023165166454,87.813,16
2024,Canadian Grand Prix,ALB,91.2818947368421,14.054563386612337,76.977,19
2024,Canadian Grand Prix,ALO,91.60514285714287,16.85285190193551,75.81,21
2024,Canadian Grand Prix,BOT,94.24855555555555,13.917025021099462,77.817,18
2024,Canadian Grand Prix,GAS,92.1991304347826,12.217738591916067,80.789,23
2024,Canadian Grand Prix,HAM,90.66726086956521,13.268534461161702,76.908,23
2024,Canadian Grand Prix,HUL,94.26094117647058,12.137962614616322,77.903,17
2024,Canadian Grand Prix,LEC,93.41145,15.074820276400954,76.556,20
2024,Canadian Grand Prix,MAG,91.22338461538462,19.060334889233808,76.773,13
2024,Canadian Grand Prix,NOR,94.4516111111111,13.871317008336,80.843,18
2024,Canadian Grand Prix,OCO,90.17285714285715,13.592617518928176,77.417,28
