season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,position,win,dnf
2023,Abu Dhabi Grand Prix,ALB,103.5016,23.027675665226337,86.081,15,84.298,5,SOFT,3.227272727272727,14,0,0
2023,Abu Dhabi Grand Prix,ALO,109.029,25.4994990800473,85.397,13,84.084,17,SOFT,-0.8721428571428589,7,0,0
2023,Abu Dhabi Grand Prix,BOT,100.25636363636364,20.548479828312004,85.024,11,84.788,5,SOFT,7.297085714285714,19,0,0
2023,Abu Dhabi Grand Prix,GAS,101.18688888888887,21.71615845657585,85.321,9,84.078,11,SOFT,,13,0,0
2023,Abu Dhabi Grand Prix,HAM,106.4132,20.80690644847416,85.315,10,84.359,11,SOFT,-0.7042111801242251,9,0,0
2023,Abu Dhabi Grand Prix,HUL,102.7265,22.03274019499163,87.147,2,84.108,17,SOFT,,15,0,0
2023,Abu Dhabi Grand Prix,LEC,103.24,19.953158059451507,84.809,12,83.584,17,SOFT,4.152515151515151,3,0,0
2023,Abu Dhabi Grand Prix,MAG,97.61966666666666,11.15116149949766,86.413,12,84.764,5,SOFT,1.2969939393939396,20,0,0
2023,Abu Dhabi Grand Prix,NOR,101.82284615384614,18.826465612917332,84.852,13,83.816,12,SOFT,-0.1508999999999993,5,0,0
2023,Abu Dhabi Grand Prix,OCO,107.9326923076923,20.707340765151443,85.566,13,84.391,11,SOFT,-1.160226190476192,12,0,0
2023,Abu Dhabi Grand Prix,PER,110.46945454545454,25.675408426600097,85.112,11,83.868,16,SOFT,0.6634571428571434,2,0,0
2023,Abu Dhabi Grand Prix,PIA,95.88630769230768,14.063353881540346,85.361,13,83.782,16,SOFT,2.0479454545454545,6,0,0
2023,Abu Dhabi Grand Prix,RIC,96.37327272727272,12.973061335636316,85.467,11,84.442,11,SOFT,1.8661904761904768,11,0,0
2023,Abu Dhabi Grand Prix,RUS,102.43907692307693,22.830589919599603,85.122,13,83.788,17,SOFT,0.1343214285714284,4,0,0
2023,Abu Dhabi Grand Prix,SAI,86.707,,86.707,1,84.738,5,SOFT,,15,0,0
2023,Abu Dhabi Grand Prix,SAR,97.79225,17.857919985388712,86.659,12,84.532,5,SOFT,3.6051727272727287,16,0,0
2023,Abu Dhabi Grand Prix,STR,106.02116666666666,21.33855535211209,85.492,12,84.405,5,SOFT,0.4062483870967735,10,0,0
2023,Abu Dhabi Grand Prix,TSU,95.75933333333334,12.740101150828172,85.669,12,83.968,17,SOFT,1.265016666666667,8,0,0
2023,Abu Dhabi Grand Prix,VER,105.4181,25.444998550031613,84.982,10,83.445,11,SOFT,4.699800000000001,1,1,0
2023,Abu Dhabi Grand Prix,ZHO,113.8096153846154,23.573544329532,85.223,13,85.114,2,SOFT,1.6076242424242413,17,0,0
2023,Australian Grand Prix,ALB,95.00875,8.043760401702674,81.182,16,77.609,26,SOFT,-1.0911758241758245,6,0,1
2023,Australian Grand Prix,ALO,105.71111111111112,18.551700942531152,78.887,9,77.139,25,SOFT,,3,0,1
2023,Australian Grand Prix,BOT,97.4375789473684,14.445616391278586,80.312,19,78.714,11,SOFT,-0.92842987012987,12,0,1
2023,Australian Grand Prix,DEV,94.69514285714286,16.61956189182466,80.6,7,78.335,20,SOFT,-1.5427142857142864,15,0,1
2023,Australian Grand Prix,GAS,94.71,22.929426101264145,80.206,7,77.574,16,SOFT,-2.6671142857142844,5,0,1
2023,Australian Grand Prix,HAM,96.471,17.365524840902452,80.323,13,77.104,27,SOFT,-2.322904761904764,2,0,1
2023,Australian Grand Prix,HUL,102.080125,18.6123373057586,80.194,16,77.412,18,SOFT,-3.855989285714286,8,0,1
