season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count
2022,Abu Dhabi Grand Prix,ALB,101.74565384615386,15.82329055017902,86.75,26
2022,Abu Dhabi Grand Prix,ALO,102.40211538461539,16.244219396023738,86.043,26
2022,Abu Dhabi Grand Prix,BOT,102.3673076923077,16.954394160262364,86.3,26
2022,Abu Dhabi Grand Prix,GAS,102.78956,19.044912813924874,87.036,25
2022,Abu Dhabi Grand Prix,HAM,107.5068947368421,22.80033937099947,85.761,19
2022,Abu Dhabi Grand Prix,LAT,103.74959259259259,18.205162258713784,87.262,27
2022,Abu Dhabi Grand Prix,LEC,100.01841666666667,17.135956848778193,85.599,24
2022,Abu Dhabi Grand Prix,MAG,101.27673684210527,17.239502264154535,86.915,19
2022,Abu Dhabi Grand Prix,MSC,100.14128571428571,14.861824366957302,86.839,21
2022,Abu Dhabi Grand Prix,NOR,103.10028,18.372632957563088,86.377,25
2022,Abu Dhabi Grand Prix,OCO,100.59466666666667,18.534904894530086,86.038,24
2022,Abu Dhabi Grand Prix,PER,106.79280952380952,24.487047634655852,85.852,21
2022,Abu Dhabi Grand Prix,RIC,106.27029999999999,18.136038131913555,86.124,10
2022,Abu Dhabi Grand Prix,RUS,103.455,18.188577153520423,85.487,24
2022,Abu Dhabi Grand Prix,SAI,103.26961538461539,19.58560379886599,85.932,26
2022,Abu Dhabi Grand Prix,STR,99.46380952380952,13.064330034942657,86.547,21
2022,Abu Dhabi Grand Prix,TSU,101.45288461538462,18.533428801658744,86.68,26
2022,Abu Dhabi Grand Prix,VER,101.673,19.46638209552276,85.146,19
2022,Abu Dhabi Grand Prix,VET,104.10291666666666,17.98076068158424,86.395,24
2022,Abu Dhabi Grand Prix,ZHO,105.34518518518519,19.955975428691563,86.479,27
2022,Australian Grand Prix,ALB,96.26937500000001,14.256560048569863,81.912,24
2022,Australian Grand Prix,ALO,94.354,15.057830204600805,79.537,18
2022,Australian Grand Prix,BOT,95.611,12.764676358071744,80.055,20
2022,Australian Grand Prix,GAS,96.47265217391305,17.169948002803395,80.142,23
2022,Australian Grand Prix,HAM,96.09752631578948,14.752908170438129,80.521,19
2022,Australian Grand Prix,LAT,99.5181,18.41855506904868,82.307,20
2022,Australian Grand Prix,LEC,102.32743478260869,21.96423563396163,78.978,23
2022,Australian Grand Prix,MAG,97.13431578947369,15.887343372958625,81.191,19
2022,Australian Grand Prix,MSC,99.40199999999999,18.297523313600795,81.974,18
2022,Australian Grand Prix,NOR,95.88505,16.634195101704773,80.1,20
2022,Australian Grand Prix,OCO,92.62233333333333,12.455039961129527,79.842,21
2022,Australian Grand Prix,PER,96.280625,20.864175813660438,79.658,16
2022,Australian Grand Prix,RIC,94.34450000000001,13.412305259291594,80.203,20
2022,Australian Grand Prix,RUS,97.13290476190475,16.02647592549517,80.212,21
2022,Australian Grand Prix,SAI,98.12395454545454,18.17024623487339,79.376,22
2022,Australian Grand Prix,STR,94.57183333333334,14.670148645305623,80.611,24
2022,Australian Grand Prix,TSU,94.6638076923077,14.946420845190275,80.424,26
2022,Australian Grand Prix,VER,95.4751052631579,18.4881262463078,79.223,19
2022,Australian Grand Prix,ZHO,97.1813,17.465904846751844,81.063,20
2022,Austrian Grand Prix,ALB,74.45161290322581,10.630983067359983,69.74,31
2022,Austrian Grand Prix,ALO,78.18115789473684,14.210158659928846,68.832,19
2022,Austrian Grand Prix,BOT,75.82673913043479,11.870241761409421,69.251,23
2022,Austrian Grand Prix,GAS,73.91257142857143,12.928197814184662,69.579,35
2022,Austrian Grand Prix,HAM,78.82246153846154,16.066774736576647,69.35,13
2022,Austrian Grand Prix,LAT,75.4920606060606,11.284865927259043,70.261,33
2022,Austrian Grand Prix,LEC,76.1589,15.967684795653174,68.66,40
2022,Austrian Grand Prix,MAG,76.40977419354839,14.3848160542281,69.96,31
2022,Austrian Grand Prix,MSC,75.58693103448276,10.42593771367159,69.7,29
2022,Austrian Grand Prix,NOR,73.90017142857143,9.55861848707817,69.519,35
2022,Austrian Grand Prix,OCO,75.56559090909091,11.67353863050998,68.848,22
2022,Austrian Grand Prix,PER,73.06576470588234,8.62861961662545,69.179,34
2022,Austrian Grand Prix,RIC,75.0298064516129,9.278082472218614,69.852,31
2022,Austrian Grand Prix,RUS,76.28613333333332,13.612831904654076,69.24,30
2022,Austrian Grand Prix,SAI,76.42862162162162,13.830911071765124,68.61,37
2022,Austrian Grand Prix,STR,74.19341025641026,9.079748378492333,69.525,39
2022,Austrian Grand Prix,TSU,74.63154054054054,9.50382575187077,70.005,37
2022,Austrian Grand Prix,VER,75.20396551724137,12.054120035083324,68.778,29
2022,Austrian Grand Prix,VET,74.68765853658536,8.382049238133108,69.602,41
2022,Austrian Grand Prix,ZHO,73.26303030303029,7.86331941868719,69.665,33
2022,Azerbaijan Grand Prix,ALB,122.43554545454545,15.69185195165718,106.397,11
2022,Azerbaijan Grand Prix,ALO,116.5188888888889,13.591897655194474,104.142,18
2022,Azerbaijan Grand Prix,BOT,116.7056,11.327647056276907,105.115,20
2022,Azerbaijan Grand Prix,GAS,116.95295238095238,13.149695929854008,104.315,21
2022,Azerbaijan Grand Prix,HAM,119.30172727272726,14.168788075947976,104.874,22
2022,Azerbaijan Grand Prix,LAT,120.71685,14.75706859449503,107.218,20
2022,Azerbaijan Grand Prix,LEC,121.29964705882354,17.463968449142566,103.224,17
2022,Azerbaijan Grand Prix,MAG,116.93327272727274,10.52337373107991,105.588,22
2022,Azerbaijan Grand Prix,MSC,123.675625,14.83523310175251,106.425,16
2022,Azerbaijan Grand Prix,NOR,120.10600000000001,14.712604898143933,104.771,19
2022,Azerbaijan Grand Prix,OCO,118.2653,15.021373176770144,104.609,20
2022,Azerbaijan Grand Prix,PER,114.79721428571429,14.62704540951753,103.472,14
2022,Azerbaijan Grand Prix,RIC,118.1862380952381,10.953190242594907,105.059,21
2022,Azerbaijan Grand Prix,RUS,116.75709523809523,11.335951860804467,104.548,21
2022,Azerbaijan Grand Prix,SAI,119.3973888888889,16.62916472430605,104.274,18
2022,Azerbaijan Grand Prix,STR,120.23481818181818,14.2419584281843,104.874,22
2022,Azerbaijan Grand Prix,TSU,120.95833333333333,16.532040764325902,104.567,21
2022,Azerbaijan Grand Prix,VER,118.63807142857142,14.906148996893275,103.58,14
2022,Azerbaijan Grand Prix,VET,117.3076818181818,13.737111567839605,104.781,22
2022,Azerbaijan Grand Prix,ZHO,119.33757894736843,14.026841971796584,105.264,19
2022,Bahrain Grand Prix,ALB,109.29261111111111,15.001591288687026,94.735,18
2022,Bahrain Grand Prix,ALO,104.78342857142859,12.075019480611317,92.877,21
2022,Bahrain Grand Prix,BOT,107.36572,15.240181381575924,92.951,25
2022,Bahrain Grand Prix,GAS,105.67828571428572,13.363831427187552,93.621,21
2022,Bahrain Grand Prix,HAM,105.24065,12.263078579193467,93.144,20
2022,Bahrain Grand Prix,HUL,105.67620000000001,12.447100632945277,94.061,25
