season,race,driver,position,win,dnf
2022,Abu Dhabi Grand Prix,ALB,13,0,1
2022,Abu Dhabi Grand Prix,ALO,10,0,0
2022,Abu Dhabi Grand Prix,BOT,15,0,1
2022,Abu Dhabi Grand Prix,GAS,14,0,1
2022,Abu Dhabi Grand Prix,HAM,8,0,1
2022,Abu Dhabi Grand Prix,LAT,19,0,1
2022,Abu Dhabi Grand Prix,LEC,2,0,1
2022,Abu Dhabi Grand Prix,MAG,17,0,1
2022,Abu Dhabi Grand Prix,MSC,16,0,1
2022,Abu Dhabi Grand Prix,NOR,6,0,1
2022,Abu Dhabi Grand Prix,OCO,7,0,1
2022,Abu Dhabi Grand Prix,PER,3,0,1
2022,Abu Dhabi Grand Prix,RIC,9,0,1
2022,Abu Dhabi Grand Prix,RUS,5,0,1
2022,Abu Dhabi Grand Prix,SAI,4,0,1
2022,Abu Dhabi Grand Prix,STR,8,0,1
2022,Abu Dhabi Grand Prix,TSU,11,0,1
2022,Abu Dhabi Grand Prix,VER,1,1,1
2022,Abu Dhabi Grand Prix,VET,10,0,1
2022,Abu Dhabi Grand Prix,ZHO,12,0,1
2022,Australian Grand Prix,ALB,10,0,1
2022,Australian Grand Prix,ALO,17,0,1
2022,Australian Grand Prix,BOT,8,0,1
2022,Australian Grand Prix,GAS,9,0,1
2022,Australian Grand Prix,HAM,4,0,1
2022,Australian Grand Prix,LAT,16,0,1
2022,Australian Grand Prix,LEC,1,1,1
2022,Australian Grand Prix,MAG,14,0,1
2022,Australian Grand Prix,MSC,13,0,1
2022,Australian Grand Prix,NOR,5,0,1
2022,Australian Grand Prix,OCO,7,0,1
2022,Australian Grand Prix,PER,2,0,1
2022,Australian Grand Prix,RIC,6,0,1
2022,Australian Grand Prix,RUS,3,0,1
2022,Australian Grand Prix,SAI,14,0,0
2022,Australian Grand Prix,STR,12,0,1
2022,Australian Grand Prix,TSU,15,0,1
2022,Australian Grand Prix,VER,2,0,1
2022,Australian Grand Prix,VET,12,0,1
2022,Australian Grand Prix,ZHO,11,0,1
2022,Austrian Grand Prix,ALB,12,0,1
2022,Austrian Grand Prix,ALO,10,0,1
2022,Austrian Grand Prix,BOT,11,0,1
2022,Austrian Grand Prix,GAS,15,0,1
2022,Austrian Grand Prix,HAM,3,0,1
2022,Austrian Grand Prix,LAT,19,0,1
2022,Austrian Grand Prix,LEC,1,1,1
