season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,dnf
2024,Azerbaijan Grand Prix,TSU,112.6494375,8.960051056,104.645,16,103.035,15,SOFT,-0.162527273,0
2024,Azerbaijan Grand Prix,VER,121.4764211,16.85641038,104.029,19,102.023,19,SOFT,2.928395455,1
2024,Azerbaijan Grand Prix,ZHO,122.2846842,14.74774882,105.947,19,104.246,9,SOFT,0.137722279,1
2024,Bahrain Grand Prix,ALB,106.1561364,14.61553755,91.333,22,90.221,11,SOFT,-1.165521212,1
2024,Bahrain Grand Prix,ALO,105.0221111,16.35370783,90.66,18,89.542,13,SOFT,2.946918182,1
2024,Bahrain Grand Prix,BOT,105.441619,14.7934147,92.001,21,90.756,5,SOFT,1.129708791,1
2024,Bahrain Grand Prix,GAS,109.3418182,17.86564742,91.951,22,90.948,8,SOFT,0.223279487,1
2024,Bahrain Grand Prix,HAM,101.43305,12.03612704,90.374,20,89.71,17,SOFT,1.1392,1
2024,Bahrain Grand Prix,HUL,104.0473684,15.96564639,90.884,19,89.851,11,SOFT,2.973291209,1
2024,Bahrain Grand Prix,LEC,107.8568636,18.15251434,91.113,22,89.165,12,SOFT,0.977557143,1
2024,Bahrain Grand Prix,MAG,105.1804545,16.15971572,91.764,22,90.529,11,SOFT,-0.042562088,1
2024,Bahrain Grand Prix,NOR,105.5832727,15.76540938,92.608,22,89.614,14,SOFT,0.171223776,1
2024,Bahrain Grand Prix,OCO,109.3187619,19.25257374,92.027,21,90.793,8,SOFT,1.584474476,1
2024,Bahrain Grand Prix,PER,104.155,15.51106702,91.115,22,89.537,16,SOFT,1.69195,1
2024,Bahrain Grand Prix,PIA,103.8181667,14.67490381,90.784,24,89.683,17,SOFT,2.1359,1
2024,Bahrain Grand Prix,RIC,104.961087,14.40917689,91.516,23,90.278,11,SOFT,0.591626923,1
2024,Bahrain Grand Prix,RUS,106.5929444,19.93159986,90.58,18,89.485,16,SOFT,1.833487897,1
2024,Bahrain Grand Prix,SAI,108.663,18.10641797,90.769,21,89.507,17,SOFT,2.755357143,1
2024,Bahrain Grand Prix,SAR,107.654,17.71293599,91.715,22,90.77,2,SOFT,0.540842424,1
2024,Bahrain Grand Prix,STR,105.8048636,16.89598215,90.891,22,89.965,5,SOFT,0.015289336,1
2024,Bahrain Grand Prix,TSU,106.52148,16.54536492,91.881,25,90.129,11,SOFT,0.159554396,1
2024,Bahrain Grand Prix,VER,102.4931905,13.76231547,90.851,21,89.179,16,SOFT,1.946482143,1
2024,Bahrain Grand Prix,ZHO,107.3943913,18.72001513,92.048,23,90.757,5,SOFT,0.950742857,1
2024,Belgian Grand Prix,ALB,112.1923125,9.069773101,103.892,16,114.473,15,INTERMEDIATE,0.846995489,1
2024,Belgian Grand Prix,ALO,113.5676667,11.36002942,103.538,15,114.258,16,INTERMEDIATE,2.361880952,1
2024,Belgian Grand Prix,BOT,116.2151111,12.41935212,103.675,18,114.764,16,INTERMEDIATE,2.7922,1
2024,Belgian Grand Prix,GAS,110.1504167,4.074196217,103.829,12,114.635,16,INTERMEDIATE,1.3309,1
2024,Belgian Grand Prix,HAM,115.0299444,13.41149309,103.519,18,113.835,20,INTERMEDIATE,1.234696264,1
2024,Belgian Grand Prix,HUL,114.3054375,11.92956903,103.846,16,116.308,8,INTERMEDIATE,2.732790909,1
2024,Belgian Grand Prix,LEC,114.9705294,11.23916957,102.837,17,113.754,21,INTERMEDIATE,0.782738095,1
2024,Belgian Grand Prix,MAG,113.0396429,11.06321916,103.485,14,116.5,8,INTERMEDIATE,1.78045,1
2024,Belgian Grand Prix,NOR,113.357,11.19345129,102.26,12,113.981,22,INTERMEDIATE,2.7032,1
2024,Belgian Grand Prix,OCO,111.188125,8.020119316,103.401,16,114.46,16,INTERMEDIATE,0.646404762,1
2024,Belgian Grand Prix,PER,113.2237059,12.3847027,103.504,17,113.765,18,INTERMEDIATE,1.236219021,1
2024,Belgian Grand Prix,PIA,112.1346667,9.541506047,102.475,18,114.027,18,INTERMEDIATE,1.098071429,1
2024,Belgian Grand Prix,RIC,112.8308333,9.09618951,103.823,12,114.682,13,INTERMEDIATE,-2.152171429,1
2024,Belgian Grand Prix,RUS,113.8646471,12.01255742,103.29,17,114.095,15,INTERMEDIATE,1.377701452,1
2024,Belgian Grand Prix,SAI,114.8316111,12.72848288,103.098,18,114.112,16,INTERMEDIATE,0.498975758,1
2024,Belgian Grand Prix,SAR,112.719,7.65392392,104.226,17,117.23,6,INTERMEDIATE,-0.5486,1
2024,Belgian Grand Prix,STR,111.9511429,8.154499653,103.532,14,115.716,15,INTERMEDIATE,1.9721,1
2024,Belgian Grand Prix,TSU,113.8795,9.898837164,104.348,16,116.593,7,INTERMEDIATE,1.335845455,1
2024,Belgian Grand Prix,VER,115.4080952,13.21872351,102.477,21,113.159,17,INTERMEDIATE,2.09915119,1
2024,Belgian Grand Prix,ZHO,114.5570588,11.48480902,104.302,17,117.775,5,INTERMEDIATE,2.983084848,0
2024,British Grand Prix,ALB,100.6458696,14.9792069,87.645,23,86.64,22,SOFT,-0.333482418,0
2024,British Grand Prix,ALO,98.50957143,15.00499771,87.372,21,86.73,18,SOFT,0.837311988,0
2024,British Grand Prix,BOT,104.7584615,20.61152024,87.381,13,92.431,8,SOFT,2.660428571,0
2024,British Grand Prix,HAM,96.73670588,12.74927591,87.202,17,85.99,24,SOFT,0.383466667,0
2024,British Grand Prix,HUL,106.6627727,21.48049154,86.99,22,86.338,16,SOFT,0.590797619,0
2024,British Grand Prix,LEC,103.3256364,19.87534324,87.15,22,87.097,17,SOFT,-0.912274892,0
2024,British Grand Prix,MAG,109.7222667,20.63429064,88.122,15,92.905,5,SOFT,-1.599119048,0
2024,British Grand Prix,NOR,99.11473913,16.19987505,86.549,23,86.03,19,SOFT,-0.560918415,0
2024,British Grand Prix,OCO,103.7707333,19.11852768,87.743,15,94.557,9,SOFT,0.019764341,0
2024,British Grand Prix,PER,106.6103,20.05621482,86.983,20,98.348,2,INTERMEDIATE,2.1644,0
2024,British Grand Prix,PIA,98.16475,13.379645,86.88,20,86.237,20,SOFT,-2.133275,0
2024,British Grand Prix,RIC,105.0032,19.563872,87.916,20,87.949,17,SOFT,2.580377381,0
2024,British Grand Prix,RUS,101.6681579,17.88995142,87.294,19,85.819,25,SOFT,0.814666667,0
2024,British Grand Prix,SAI,106.6258889,22.0514154,87.249,27,86.509,20,SOFT,-4.721692857,0
2024,British Grand Prix,SAR,102.5371429,18.26466152,87.809,21,87.175,17,SOFT,-0.928306061,0
2024,British Grand Prix,STR,97.5196,14.29682311,87.274,15,86.585,23,SOFT,0.670571429,0
2024,British Grand Prix,TSU,104.08155,19.68565856,87.745,20,87.269,16,SOFT,0.70747619,0
2024,British Grand Prix,VER,95.74464706,7.256724588,87.233,17,86.203,23,SOFT,0.434538462,0
2024,British Grand Prix,ZHO,106.820625,22.50902317,87.813,16,87.867,19,SOFT,2.978196429,0
2024,Canadian Grand Prix,ALB,91.28189474,14.05456339,76.977,19,72.485,18,SOFT,-0.842773377,1
2024,Canadian Grand Prix,ALO,91.60514286,16.8528519,75.81,21,72.228,22,SOFT,-2.953096154,1
2024,Canadian Grand Prix,BOT,94.24855556,13.91702502,77.817,18,73.366,9,SOFT,0.261976623,1
2024,Canadian Grand Prix,GAS,92.19913043,12.21773859,80.789,23,72.94,17,SOFT,-0.923831752,1
2024,Canadian Grand Prix,HAM,90.66726087,13.26853446,76.908,23,71.979,19,SOFT,3.720435165,1
